GRIDCODE	CVE_ENTCVE_MUN	fter
159321	6006	0.092045343
159322	6006	0.214677597
159326	6002	0.044559691
159329	16026	0.206182006
159330	16026	0.150362556
159331	16026	0.17170058
159332	16026	0.162038963
159333	16026	0.135839561
159358	16002	0.221704737
159359	16002	0.01995909
159359	16006	1
159388	16035	0.447271939
159390	16035	0.021353359
159391	16035	0.025968095
160370	6001	0.072936709
160380	6006	0.130365872
160385	6002	0.0442286
160387	16026	0.16441033
160388	16026	0.009466005
160416	16002	0.194263048
160417	16002	0.003888471
160446	16035	0.333815412
160447	16035	0.148481914
161428	6001	0.003714416
161429	6001	0.093330673
161438	6006	0.046143226
161439	6006	0.075351979
161444	6002	0.01980263
161445	6002	0.041956637
161469	16089	0.019158261
161473	16002	0.045375204
161474	16002	0.080213361
161475	16002	0.233622696
161491	16064	0.056343245
161507	16035	0.023109281
162487	6001	0.079265077
162496	6006	0.058641146
162497	6006	0.051264779
162504	6002	0.090695748
162509	14065	0.091869323
162533	16002	0.160787504
162534	16002	0.040185888
162550	16064	0.034425446
163546	6001	0.127552206
163555	6006	0.157740228
163563	6002	0.081967773
163568	14065	0.080646066
164605	6001	0.167290621
164614	6006	0.163876178
164622	6002	0.10716222
164627	14065	0.080033575
165664	6001	0.169443177
165673	6002	0.070534723
165673	6006	0.009893653
165680	6002	0.074956989
165681	6002	0.002521899
165685	14065	0.016060303
165686	14065	0.07336311
165710	16012	0.061372759
165711	16012	0.117752853
165731	16055	0.679286881
165732	16055	0.311388694
165740	16059	0.027306701
166722	6001	0.167444215
166723	6001	0.003254786
166731	6002	0.011896944
166732	6002	0.063673222
166739	6002	0.082702719
166744	14065	0.028950593
166745	14065	0.047264235
166769	16012	0.273273381
166790	16055	0.009324425
166790	16064	0.079434099
167781	6001	0.023772109
167782	6001	0.091996014
167782	6004	0.056218866
167787	6004	0.034189733
167788	6004	0.102930364
167789	6002	0.032618232
167789	6004	0.015364164
167790	6002	0.127928327
167798	6002	0.075981371
167803	14065	0.152058119
167804	14065	0.071841952
167827	16012	0.001306906
167828	16012	0.241539993
167845	16064	0.091202752
168841	6004	0.09305835
168842	6004	0.183207769
168843	6004	0.020583073
168844	6004	0.052263346
168847	6004	0.200566441
168848	6004	0.109801534
168857	6002	0.024442148
168858	6002	0.002370126
168861	14065	0.004816161
168862	14065	0.07836261
168880	16089	0.015486129
168882	16089	0.024376731
168886	16012	0.013605243
168904	16064	0.337598228
168905	16064	0.011738224
168916	16059	0.175464638
168917	16059	0.25562195
168918	16009	0.049935754
168918	16059	0.260484811
168919	16009	0.13736196
168920	16009	0.106125409
168921	16009	0.054257692
169893	6007	0.082441846
169894	6007	0.114179163
169901	6004	0.007315449
169902	6004	0.124500911
169920	14065	0.091548728
169939	14049	0.001156082
169939	16089	0.322154467
169940	14049	0.026020215
169940	16089	0.500580388
169941	16089	0.118244024
169963	16064	0.04750305
169964	16064	0.180485869
169974	16059	0.04017857
169982	16009	0.026908364
169983	16009	0.394576441
169984	16009	0.011817007
170951	6007	0.074597915
170952	6007	0.079559165
170978	14065	0.010901986
170979	14065	0.027513926
170986	14087	0.036970418
170987	14087	0.078956953
170988	14087	0.004767264
170999	14049	0.075573519
171005	14049	0.002927489
171005	16012	0.001147317
171006	14049	0.019620606
171023	16064	0.161269088
171033	16059	0.121744949
171040	16009	0.002615451
171041	16009	0.079851981
171043	16009	0.099033968
171044	16009	0.000854266
171044	16082	0.515381546
171045	16082	0.476918245
172009	6007	0.136744517
172010	6007	0.044669879
172045	14087	0.071153317
172058	14049	0.054922679
172065	14049	0.027788818
172092	16059	0.108612546
172092	16087	0.04918769
173066	6007	0.205421624
173067	6007	0.167469842
173068	6007	0.088334931
173103	14087	0.010256959
173104	14087	0.093841089
173116	14049	0.03663465
173117	14049	0.028223357
173124	14049	0.015979731
173125	14049	0.015553485
173136	16083	0.016656951
173137	16083	0.026632954
173151	16059	0.003302434
173151	16087	0.241685742
173152	16059	0.0072834
173156	16009	0.036661707
174125	6007	0.006581119
174125	14027	0.004340405
174162	14087	0.075757947
174163	14087	0.048605136
174164	14087	0.075125205
174172	14049	0.019841685
174173	14049	0.082358783
174174	14049	0.076892434
174175	14049	0.03514866
174184	14049	0.058172683
174190	16083	0.076139301
174191	16083	0.17320542
174192	16083	0.02978936
174194	16083	0.038298522
174195	16083	0.071609366
174196	16083	0.093127059
174209	16087	0.13695787
174210	16087	0.341610039
175203	6003	0.028891428
175214	14108	0.067319255
175215	14108	0.113112605
175216	14108	0.098143992
175217	14065	0.011783497
175217	14087	0.003344078
175217	14108	0.004065285
175221	14065	0.086360463
175221	14087	0.096588283
175230	14049	0.103728952
175231	14049	0.047134665
175243	14049	0.044034816
175247	16012	0.1839393
175248	16012	0.106062247
175248	16083	0.083157138
175249	16083	0.222222266
175253	16083	0.049413783
175255	16083	0.024707942
175256	16083	0.071817677
175268	16087	0.230558659
176272	14103	0.46394952
176273	14108	0.015783976
176275	14108	0.002071384
176280	14065	0.045760047
176280	14087	0.071432503
176289	14049	0.051458822
176301	14049	0.01243017
176302	14049	0.049258184
176315	16083	0.023222261
176326	16111	0.215814853
177320	6003	0.012480507
177330	14103	0.468607565
177331	14103	0.039283986
177337	14087	0.068907696
177338	14087	0.084189628
177339	14065	0.000865305
177339	14087	0.011963291
177360	14049	0.059675296
177382	16102	0.002452785
177383	16102	0.207682901
177385	16111	0.423447038
178372	6008	0.041179511
178381	6003	0.035048581
178395	14087	0.049823334
178396	14087	0.018808937
178419	14049	0.055464218
178446	16111	0.07484882
178453	16079	0.042694374
178459	16066	0.519946929
178459	16079	0.957305626
178459	16082	0.007700209
179414	14027	0.007408343
179421	14027	0.012520981
179422	14027	0.019688981
179423	14027	0.069125271
179424	14027	0.045100109
179430	6008	0.201068999
179431	6008	0.125747649
179438	14122	0.017873886
179441	6003	0.01875858
179449	14103	0.028158929
179505	16111	0.285889289
179518	16066	0.480053071
180473	14027	0.035527037
180477	14027	0.051380846
180478	14027	0.019132527
180479	14027	0.077158352
180480	14027	0.052439199
180481	14027	0.048434585
180483	14027	0.050108497
180484	14027	0.040926849
180485	14027	0.04512976
180486	14027	0.018918116
180489	6008	0.302316108
180496	14099	0.005956805
180496	14122	0.015198226
180497	14122	0.201072263
180498	14122	0.094088246
180499	14122	0.087163599
180500	6003	0.58576498
180500	14122	0.093796607
180501	6003	0.319055924
180501	14122	0.00960073
180514	14087	0.011715144
180515	14087	0.005949075
180565	16090	1
181534	14027	0.009741557
181535	14027	0.073426233
181536	14027	0.013756813
181543	14027	0.048413164
181544	14027	0.028524007
181545	14027	0.057148969
181546	14027	0.067352424
181547	6008	0.135814772
181547	14027	0.036264532
181548	6008	0.193872962
181555	14099	0.022758797
181555	14122	0.078606836
181556	14122	0.038004674
181573	14087	0.056742227
182585	14043	0.420282985
182593	14021	0.009351843
182593	14027	0.065628571
182599	14027	0.002403871
182614	14122	0.036846373
182615	14122	0.061643456
182632	14087	0.025101517
182635	14085	0.001217933
182635	14121	0.001072954
182643	14056	0.081939384
182644	14056	0.152003021
182645	14056	0.135653587
182646	14056	0.114211673
182661	16068	0.407967346
183641	14043	0.436020765
183651	14021	0.015386325
183652	14021	0.209454651
183671	14099	0.087901524
183672	14099	0.08458743
183673	14099	0.023118743
183673	14122	0.022801872
183674	14122	0.113250704
183687	14108	0.040192187
183689	14108	0.037234165
183690	14108	0.021508906
183701	14085	0.072207224
183702	14056	0.019544983
183702	14085	0.033877192
183705	14056	0.111501468
183706	14056	0.035865054
183719	16068	0.080227422
183719	16075	0.021786496
183720	16068	0.223350003
183720	16075	0.046554495
183723	16068	0.14761883
183727	16075	0.021447003
183727	16102	0.024906904
183739	16056	0.021163979
183740	16056	0.03995102
184700	14043	0.143696251
184710	14021	0.158055227
184730	14099	0.097681512
184731	14099	0.021732739
184732	14122	0.039620275
184733	14122	0.090432252
184739	14108	0.004787929
184739	14113	0.014939408
184740	14108	0.072409631
184740	14113	0.126149705
184744	14108	0.000740019
184745	14108	0.136813821
184746	14108	0.03184859
184759	14085	0.034098579
184760	14085	0.046666769
184765	14056	0.119537391
184779	16075	0.013242445
184780	16075	0.029126841
184781	16068	0.004067508
184781	16075	0.072964958
184782	16068	0.136768891
184782	16075	0.096844931
184785	16075	0.047879719
184785	16102	0.337198403
184786	16075	0.026825362
184798	16056	0.047856781
184799	16056	0.202287007
184800	16056	0.021424508
185787	14099	0.020662448
185789	14099	0.144592836
185790	14099	0.052573395
185791	14099	0.051923923
185792	14099	0.090257166
185793	14099	0.091657038
185799	14113	0.012806342
185800	14108	0.090808109
185800	14113	0.045278882
185801	14108	0.067797184
185802	14023	0.426563126
185802	14108	0.005786014
185803	14023	0.279849714
185803	14108	0.113870164
185818	14085	0.059616488
185823	14056	0.118386045
185824	14056	0.008838686
185837	16075	0.097834597
185838	16075	0.00174996
185838	16095	0.085581022
185841	16075	0.087080806
185842	16075	0.035178298
185843	16075	0.090720856
185844	16075	0.023464954
185849	16021	0.101178314
185850	16021	0.007736438
185850	16065	0.003140842
185850	16102	0.297491683
185851	16102	0.091189247
185852	16065	0.086691787
185857	16056	0.018297531
185858	16056	0.123658353
185859	16056	0.023943118
186826	14021	0.046640581
186828	14021	0.079241132
186829	14021	0.011639928
186845	14106	0.065692932
186846	14099	0.068153886
186846	14106	0.005788503
186847	14099	0.050161653
186848	14099	0.00170116
186849	14099	0.035921364
186850	14099	0.048657581
186857	14113	0.032652207
186858	14113	0.116971918
186860	14108	0.04848299
186860	14113	0.057944881
186861	14023	0.293587161
186861	14108	0.027223794
186861	14113	0.02440522
186865	14121	0.240338201
186866	14121	0.043653973
186877	14085	0.060754766
186882	14056	0.10251871
186882	14069	0.031624764
186897	16095	0.350675099
186902	16075	0.064723179
186910	16065	0.239284583
186910	16102	0.039078078
186911	16065	0.053913793
186917	16056	0.059929689
186918	16056	0.037551194
186923	16032	1
187885	14021	0.128002165
187886	14021	0.197601727
187887	14021	0.040884105
187901	14106	0.084987123
187902	14106	0.123464572
187904	14106	0.078097303
187917	14113	0.021837341
187924	14121	0.114394054
187925	14121	0.182499107
187935	14085	0.039199129
187936	14085	0.03486811
187941	14069	0.070910644
187961	16075	0.031069431
187962	16075	0.028944808
187964	16021	0.041421264
187964	16075	0.001860075
187969	16065	0.072708427
187970	16065	0.153959683
187971	16065	0.051395997
187972	16065	0.085341022
187976	16056	0.012141133
188949	14021	0.000410894
188959	14106	0.077215085
188960	14106	0.067740746
188961	14106	0.121304449
188962	14106	0.031230553
188963	14106	0.077052943
188984	14121	0.058848758
188985	14085	0.007016496
188985	14121	0.248259838
188986	14085	0.039008473
188994	14085	0.079856591
189000	14069	0.067950282
189014	16095	0.035681316
189022	16075	0.00331254
189023	16021	0.100764514
189023	16075	0.009081449
189025	16021	0.031653016
189026	16021	0.059544444
189031	16065	0.004986553
189032	16065	0.197809819
189034	16024	0.334341649
189035	16024	0.421908631
189037	16056	0.081050472
189038	16056	0.059418848
189980	14100	0.003671998
189981	14100	0.008775952
190008	14021	0.103331422
190016	14037	0.027880062
190017	14037	0.310013221
190018	14037	0.020445049
190018	14106	0.04894688
190020	14106	0.078493016
190021	14106	0.088241237
190022	14106	0.051744658
190044	14085	0.033203818
190045	14085	0.02408595
190052	14085	0.040248574
190053	14085	0.020425974
190059	14069	0.098741984
190060	14069	0.028676324
190073	16095	0.30874199
190074	16091	0.632546576
190074	16095	0.219320572
190081	16075	0.040204542
190084	16021	0.198520954
190091	16024	0.003038323
190091	16065	0.050767494
190094	16024	0.164272234
190095	16024	0.076439162
190095	16056	0.108179727
190096	16056	0.030991172
190097	16056	0.04111506
190098	16056	0.052542024
190098	16107	0.475854103
191075	14037	0.175203391
191076	14037	0.002976007
191104	14085	0.044287357
191104	14121	0.110933115
191111	14085	0.055287178
191118	14069	0.09437458
191123	16019	0.018664133
191124	16019	0.022815784
191127	16019	0.002765723
191133	16091	0.367453424
191140	16075	0.046897895
191141	16075	0.016594444
191142	16021	0.043261598
191143	16021	0.202360589
191157	16056	0.018498385
191157	16107	0.524145897
192127	14015	0.015399506
192133	14037	0.040886961
192134	14037	0.129592171
192146	14113	0.049904668
192147	14113	0.112406232
192148	14113	0.006146732
192163	14085	0.060631275
192170	14085	0.054476376
192176	14069	0.082969899
192177	14069	0.020794205
192182	16019	0.091643604
192183	16019	0.20722804
192184	16019	0.025487859
192199	16075	0.000357678
192200	16075	0.036355945
192202	16021	0.160161617
193186	14015	0.11615061
193191	14037	0.079991306
193192	14037	0.160668997
193205	14113	0.150818983
193217	14079	0.038637769
193222	14079	0.008689935
193222	14085	0.055045568
193229	14085	0.021295968
193230	14085	0.002867818
193235	14069	0.082221901
193242	16019	0.097523281
193243	16019	0.092681703
193244	16019	0.03618184
193257	16085	0.03083069
193258	16075	0.007896295
193258	16085	0.155940146
193261	16021	0.053397252
194243	14015	0.156882483
194244	14015	0.220243068
194245	14015	0.003033663
194250	14037	0.052342835
194252	14054	0.0246195
194255	14054	0.107706256
194264	14113	0.043955109
194265	14086	0.030193251
194265	14113	0.072427008
194268	14086	0.009122988
194268	14113	0.007320699
194269	14086	0.00442346
194269	14113	0.099638469
194276	14079	0.031640316
194281	14079	0.013894683
194281	14085	0.061575632
194282	14079	0.000397943
194282	14085	0.009576028
194294	14069	0.042341071
194301	14069	0.031588397
194301	16019	0.004319595
194302	16019	0.044372103
194303	16019	0.105719636
194314	16084	0.118622128
194314	16085	0.14944142
194315	16085	0.173139711
194316	16085	0.123796531
195304	14015	0.269948051
195305	14015	0.185379273
195311	14054	0.052483312
195312	14054	0.241347183
195313	14054	0.24833076
195314	14054	0.258864399
195323	14086	0.000486342
195324	14086	0.076438232
195324	14113	0.004396199
195327	14086	0.063512763
195340	14079	0.09255284
195340	14085	0.000333266
195341	14079	0.003947174
195341	14085	0.008271469
195348	14059	0.024252178
195349	14059	0.053203358
195350	14059	0.094029972
195351	14059	0.130176882
195352	14059	0.068968275
195352	14069	0.032389323
195352	14112	0.324943143
195353	14069	0.068900766
195356	14069	0.003031909
195359	14069	0.026912108
195360	14069	0.014353145
195361	16019	0.13236912
195371	16084	0.163532921
195372	16084	0.167129077
195372	16085	0.059296356
195373	16084	0.306834714
195373	16085	0.033654603
196339	14100	0.006766619
196340	14100	0.03005195
196341	14100	0.012793022
196363	14015	0.032963345
196373	14054	0.066648588
196382	14086	0.020010757
196383	14086	0.012185405
196385	14086	0.009802075
196386	14086	0.023496353
196390	14082	0.234928867
196391	14082	0.658913516
196392	14082	0.106157617
196395	14014	0.134345949
196395	14079	0.029886531
196396	14079	0.131390722
196397	14079	0.086920538
196398	14079	0.091993455
196399	14079	0.08845705
196406	14059	0.036696917
196407	14059	0.058233117
196408	14059	0.111403009
196409	14059	0.092201725
196416	14069	0.007297725
196417	14069	0.036107536
196418	14069	0.024849637
196419	14069	0.04928618
196419	16019	0.00149935
196420	16019	0.116728231
196430	16084	0.243881161
197395	14100	0.017285683
197396	14100	0.028381347
197397	14100	0.02749598
197398	14100	0.037088475
197400	14068	0.79986729
197400	14100	0.025332755
197441	14086	0.011191724
197442	14086	0.053226919
197444	14086	0.039932977
197455	14079	0.117202124
197464	14059	0.010941514
197465	14059	0.146625665
197469	14059	0.107706383
197470	14059	0.012965141
197470	14112	0.675056857
197476	14069	0.00535942
197477	14069	0.043240085
197478	14069	0.013783186
197521	16037	1
198454	14100	0.033638619
198459	14068	0.20013271
198459	14100	0.02480828
198482	14110	0.064118614
198483	14110	0.044977747
198501	14086	0.034145034
198502	14086	1.90983E-05
198503	14086	0.014612038
198504	14086	0.077137923
198506	14004	0.523128015
198514	14079	0.045318936
198515	14014	0.009805831
198515	14079	0.085721109
198516	14079	0.087575195
198517	14079	0.033641801
198522	14026	0.071584216
198523	14026	0.074765734
198523	14059	0.052595864
198535	14069	0.02229493
198559	16085	0.123954855
199509	14100	0.012761046
199510	14100	0.029400171
199511	14100	0.034845861
199512	14100	0.030863091
199513	14100	0.009897913
199518	14100	0.026582164
199540	14110	0.007835045
199541	14110	0.19499964
199542	14110	0.069957694
199560	14086	0.001391316
199561	14086	0.079469984
199563	14086	0.02897419
199576	14026	0.069851209
199576	14079	0.012131879
199577	14026	0.097323651
199580	14026	0.058255534
199581	14026	0.15971687
199582	14026	0.053341937
199582	14057	0.061417733
199597	16045	0.099444281
199618	16085	0.149945686
199618	16094	0.530374133
199619	16094	0.297421095
199620	16094	0.170501295
199639	16054	0.428043794
200567	14100	0.019659998
200568	14100	0.034878174
200571	14100	0.000866087
200577	14100	0.007335165
200578	14100	0.032307537
200579	14100	0.022477137
200599	14110	0.107518674
200619	14086	0.064386907
200620	14086	0.03158799
200621	14086	0.001386625
200622	14086	0.025451367
200626	14004	0.162453944
200636	14026	0.026387224
200637	14026	0.138689243
200638	14026	0.097041585
200639	14026	0.04959644
200641	14057	0.420012964
200656	16045	0.082337308
200657	16045	0.026411847
200658	16045	0.138626504
200659	16104	0.022493378
200660	16104	0.060848305
200665	16023	0.010368593
200679	16094	0.001703478
200691	16063	0.06237393
200698	16054	0.571956206
201623	14100	0.013088589
201624	14100	0.014006998
201625	14100	0.01532224
201626	14100	0.035902741
201627	14100	0.00943556
201630	14100	0.002574125
201631	14100	0.040064198
201632	14100	0.00409529
201638	14100	0.00859779
201639	14100	0.032412947
201640	14100	0.007815169
201661	14110	0.12478004
201677	14032	0.03448646
201677	14086	0.062887578
201678	14086	0.01231044
201679	14086	0.037479377
201680	14086	0.00298879
201681	14086	0.037505414
201682	14086	0.00314284
201685	14004	0.314418041
201687	14014	0.03389747
201688	14014	0.178422734
201692	14014	0.046501453
201695	14026	0.014884663
201696	14026	0.055076739
201696	14092	0.006331405
201700	14057	0.014755059
201716	16045	0.2319471
201717	16045	0.179646503
201717	16104	0.045978767
201718	16104	0.235401865
201719	16104	0.087104182
201720	16104	0.004420468
201724	16023	0.09648846
201725	16023	0.120031505
201726	16023	0.0879279
201726	16108	0.330458909
201727	16108	0.669541091
201750	16063	0.066433955
201751	16063	0.154334483
201752	16063	0.036748862
201752	16071	0.063785813
202679	14100	0.006616295
202680	14100	0.013489182
202681	14100	0.013943486
202682	14100	0.024280932
202683	14100	0.012243821
202684	14100	0.011149554
202685	14100	0.004780098
202686	14100	0.022989438
202687	14100	0.01445185
202688	14100	0.013289328
202689	14100	0.025360135
202690	14100	0.03461329
202699	14100	0.033905261
202714	14017	0.06035631
202715	14017	0.095685293
202716	14017	0.100036053
202718	14017	0.048943135
202718	14110	0.073400201
202719	14110	0.094615892
202720	14110	0.014340745
202730	14032	0.009136262
202731	14032	0.013922878
202732	14032	0.081045568
202733	14032	0.005847736
202735	14032	0.101675084
202735	14086	0.009554158
202736	14032	0.006869653
202740	14086	0.012512915
202741	14086	0.015114801
202747	14014	0.339391697
202753	14092	0.029334587
202754	14026	0.033484954
202754	14092	0.037321759
202759	14057	0.208215663
202760	14057	0.260601967
202761	14057	0.024726142
202761	14096	1
202768	16051	1
202774	16076	0.024308727
202775	16045	0.110962131
202775	16076	0.812180946
202776	16045	0.130624327
202776	16104	0.081060462
202778	16104	0.130832481
202783	16023	0.106610984
202784	16023	0.133783924
202785	16023	0.08682704
202801	16067	0.051395611
202805	16063	0.03774832
202806	16063	0.113929391
202808	16063	0.123401515
202809	16063	0.150822949
202811	16071	0.084074004
202812	16071	0.114295806
202813	16071	0.186680589
202814	16071	0.073546465
202815	16071	0.067770759
203742	14100	0.002053351
203745	14100	1.39174E-05
203758	14100	0.011847731
203759	14100	0.033958495
203773	14017	0.02245304
203774	14017	0.064308921
203775	14017	0.022867751
203776	14017	0.08550614
203777	14017	0.058605868
203777	14110	0.175349064
203790	14032	0.124776902
203791	14032	0.007159359
203792	14032	0.059574558
203793	14032	0.097778084
203794	14032	0.047461547
203798	14086	0.012907367
203799	14086	0.029145501
203801	14086	0.027524503
203802	14086	0.000445508
203802	14089	0.192891836
203806	14014	0.008260557
203807	14014	0.249374309
203807	14092	0.042517501
203811	14092	0.10276832
203812	14092	0.076731398
203818	14057	0.010270472
203833	16076	0.163510327
203836	16103	0.054513167
203836	16104	0.03300273
203837	16104	0.178665793
203838	16104	0.120191568
203842	16023	0.107486446
203844	16023	0.121495052
203860	16067	0.094515285
203865	16063	0.134271934
203872	16071	0.077688866
203873	16071	0.055769565
203874	16071	0.04438902
203875	16071	0.029468629
204818	14084	0.053124827
204818	14100	0.000157051
204833	14017	0.097121286
204834	14017	0.020214152
204836	14017	0.018460794
204837	14017	0.037813981
204842	14090	0.022993229
204852	14032	0.049522101
204853	14032	0.085531975
204857	14086	0.003238569
204858	14010	0.041324558
204858	14086	0.020656523
204861	14089	0.408615889
204866	14092	0.182934184
204867	14092	0.008866003
204869	14092	0.016826782
204870	14092	0.04113495
204873	14092	0.005951175
204874	14092	0.004463891
204893	16103	0.01918826
204894	16103	0.025847707
204895	16103	0.105274756
204898	16062	0.016966585
204899	16062	0.07469094
204900	16062	0.010778938
204901	16023	0.12886364
204901	16062	0.007328212
204903	16023	0.000116454
204903	16042	0.051968378
204904	16042	0.18652168
204919	16067	0.089370934
204924	16004	0.047151311
204924	16063	0.119934661
204932	16071	0.071286574
204934	16071	0.008197934
205877	14084	0.060505399
205880	14100	0.001022673
205893	14017	0.039780598
205896	14017	0.012255969
205900	14090	0.009922947
205901	14090	0.194356081
205912	14032	0.081268565
205913	14032	0.044389852
205916	14010	0.043286158
205917	14010	0.030444562
205920	14010	0.062225623
205920	14089	0.004241399
205921	14010	0.072519853
205921	14089	0.157823698
205921	14119	0.021253265
205926	14092	0.058949853
205928	14092	0.046920791
205929	14092	0.091740423
205933	14092	0.119622486
205933	14107	0.197243488
205934	14092	0.013109222
205934	14107	0.497049027
205935	14092	0.07484847
205935	14107	0.211557062
205952	16103	0.104711078
205954	16103	0.055540983
205955	16103	0.097862162
205956	16062	0.071202857
205956	16103	0.000537718
205957	16062	0.210145976
205958	16062	0.002595325
205959	16062	0.070985845
205960	16062	0.14102434
205961	16042	0.134414394
205961	16062	0.00358481
205963	16042	0.164981406
205967	16030	0.033516677
205978	16067	0.088225019
205983	16004	0.292754991
205983	16067	0.002396536
206920	14100	0.006162027
206921	14100	0.012391415
206936	14084	0.058196148
206952	14017	0.002275237
206953	14017	0.036529475
206954	14017	0.067139098
206955	14017	0.052851825
206959	14090	0.044921705
