GRIDCODE,CVENTMUN,Fcentrale
273742,01001,1
272669,01003,1
292804,01004,1
287508,01007,1
714931,02002,1
406857,03001,1
498982,03002,1
351858,03003,0.33
381464,03003,0.34
389924,03003,0.33
211670,04002,0.5
212729,04002,0.5
161856,04003,1
192603,04004,1
164012,04009,0.5
164011,04009,0.5
164059,04010,1
401920,05030,0.2
414633,05030,0.2
413574,05030,0.2
412516,05030,0.2
411455,05030,0.2
509935,05032,1
170970,06002,0.5
172027,06002,0.5
165654,06007,1
62241,07009,1
119493,07065,1
85584,07078,1
58011,07097,1
84508,07101,1
538371,08019,1
486414,08065,1
176424,09003,1
181719,09005,1
178540,09010,1
180661,09017,0.5
179602,09017,0.5
358383,10005,1
417727,10007,1
374286,10008,1
451552,10017,1
398600,10032,1
226108,11012,1
246255,11014,1
238831,11015,1
208146,11019,1
217635,11023,1
257894,11030,1
251564,11033,1
76856,12001,0.5
78971,12001,0.5
65257,12023,1
108648,12028,1
106518,12029,1
126635,12035,0.5
137228,12035,0.5
109623,12038,1
73729,12046,1
137188,12050,1
145697,12055,1
138275,12058,1
141413,12073,1
70544,12080,1
212436,13003,1
191274,13008,1
213505,13012,1
216648,13029,1
220898,13030,1
206089,13048,0.5
205029,13048,0.5
211369,13050,1
203972,13051,1
201861,13057,1
223013,13058,1
216697,13060,1
197615,13066,1
196550,13069,1
207131,13070,1
199729,13075,1
203951,13076,1
207162,13077,1
230424,13084,1
231334,14009,1
193186,14015,1
212311,14018,1
190040,14023,1
261036,14035,1
227110,14039,1
246202,14046,1
253634,14053,1
214421,14063,1
228104,14067,1
249385,14073,1
256788,14091,1
235565,14094,1
224990,14098,1
247247,14118,1
228165,14120,1
199697,15001,1
206052,15003,1
201839,15010,1
194401,15014,1
184905,15030,1
185957,15033,1
156285,15040,1
184874,15042,1
191250,15053,1
193366,15091,1
196524,15102,1
172202,15103,1
145672,15105,1
175347,15106,0.2
175348,15106,0.2
174290,15106,0.2
174289,15106,0.2
173230,15106,0.2
189132,15108,1
193244,16019,1
121249,16052,1
188000,16053,0.25
189059,16053,0.25
190120,16053,0.25
190118,16053,0.25
181633,16066,1
214447,16069,1
171048,16082,1
178441,16102,1
199613,16108,1
157369,17006,1
160537,17007,1
156302,17008,1
158420,17011,1
147830,17012,1
162659,17020,1
158424,17029,1
299053,18001,0.5
299054,18001,0.5
242929,18004,0.33
248228,18004,0.33
250354,18004,0.34
241900,18006,1
277881,18011,1
261990,18012,1
270464,18015,0.5
272583,18015,0.5
295873,18016,1
258828,18017,0.25
259887,18017,0.25
259886,18017,0.25
260945,18017,0.25
277875,18018,0.5
277878,18018,0.5
437977,19011,1
423127,19039,1
433718,19045,1
68555,20043,1
90733,20067,1
64312,20124,0.5
63253,20124,0.5
44125,20318,1
107643,20339,1
107643,20346,1
85496,20427,1
134116,20459,1
64312,20515,0.5
63253,20515,0.5
71737,20557,1
166926,21114,1
199762,21208,1
209217,22001,1
232519,22005,1
227229,22007,1
249483,22009,1
224035,22014,0.5
224036,22014,0.5
216635,22016,1
221934,22017,1
168333,23004,1
276392,23005,1
236132,23009,1
290813,24016,1
284378,24028,0.5
284379,24028,0.5
431311,25001,0.34
432369,25001,0.33
432370,25001,0.33
391119,25006,0.5
390061,25006,0.5
312806,25009,1
422856,25011,1
328670,25012,1
319158,25014,1
432395,25017,1
381579,25018,1
648398,26002,1
480029,26003,1
636724,26019,1
519152,26025,1
476829,26026,1
563629,26030,0.33
562569,26030,0.33
564684,26030,0.34
473651,26033,1
630352,26035,1
590146,26038,1
612386,26041,1
483189,26042,1
650472,26043,1
706480,26055,0.5
706481,26055,0.5
621871,26058,1
576355,26066,1
676887,26070,1
485294,26071,1
134284,27004,1
124718,27008,1
125824,27012,1
431693,28022,1
493047,28027,1
290838,28038,1
347979,28041,1
180695,29005,1
187034,29006,1
176467,29013,1
176455,29033,1
127860,30003,1
255898,30013,1
157431,30030,1
182854,30038,1
135289,30039,1
161676,30044,0.5
160617,30044,0.5
171205,30071,1
186033,30087,1
207207,30102,1
129991,30108,1
159552,30118,1
220964,30124,1
187080,30128,1
253788,30151,1
238955,30160,1
150036,30173,1
144753,30174,1
241082,30189,1
175467,30193,1
251913,31011,1
259344,31038,1
258294,31050,0.5
259353,31050,0.5
264659,31052,1
250918,31091,0.5
251976,31091,0.5
269993,31096,1
253048,31102,1
304430,32020,1
361596,32029,1
295939,32031,1
308680,32056,0.5
308678,32056,0.5