GRIDCODE,CVENTMUN,Promedio de LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de LONG_CARR_x_CELDA x CARRILES
3681909,19049,208043.8668,1880.699574
3681910,19004,80000.85424,5498.489255
3681910,19049,208043.8668,23.9620893
3681916,19004,80000.85424,516.2082289
3681917,19004,80000.85424,2399.813693
3681918,19004,80000.85424,2005.040896
3685028,05004,381838.4949,2050.860716
3685076,19049,208043.8668,797.0493615
3685077,19049,208043.8668,3284.266015
3685078,19049,208043.8668,2054.044007
3685086,19049,208043.8668,708.1092965
3685087,19049,208043.8668,4126.245426
3685094,19004,80000.85424,2168.372164
3685096,19004,80000.85424,2150.385526
3688206,05004,381838.4949,2502.227409
3688207,05004,381838.4949,646.6697744
3688236,19049,208043.8668,825.8517007
3688237,19049,208043.8668,1089.178684
3688238,19049,208043.8668,1076.630188
3688239,19049,208043.8668,1008.798951
3688240,19049,208043.8668,1113.888302
3688241,19049,208043.8668,2196.112485
3688242,19049,208043.8668,1430.353116
3688254,19049,208043.8668,3128.49313
3688256,19049,208043.8668,615.0714679
3688257,19049,208043.8668,1473.670595
3688264,19049,208043.8668,5028.215853
3688274,19004,80000.85424,2021.724638
3691385,05004,381838.4949,1921.021592
3691386,05004,381838.4949,1164.524279
3691402,05004,381838.4949,523.8391617
3691403,05004,381838.4949,1116.918814
3691404,05004,381838.4949,1050.536125
3691405,05004,381838.4949,57.74010782
3691405,19049,208043.8668,954.0567429
3691406,19049,208043.8668,1104.339749
3691407,19049,208043.8668,565.151137
3691408,19049,208043.8668,894.8197306
3691409,19049,208043.8668,1034.18506
3691410,19049,208043.8668,1118.950678
3691411,19049,208043.8668,1012.249793
3691412,19049,208043.8668,1014.363732
3691413,19049,208043.8668,1008.271035
3691414,19049,208043.8668,288.2803246
3691420,19049,208043.8668,2084.371077
3691431,19049,208043.8668,1132.0763
3691432,19049,208043.8668,1570.075588
3691435,19049,208043.8668,2193.97445
3691441,19049,208043.8668,5097.136922
3691442,19049,208043.8668,662.0042428
3691452,19004,80000.85424,356.6456593
3691452,19009,368849.6112,1668.791591
3694564,05004,381838.4949,1608.527185
3694565,05004,381838.4949,1745.950544
3694577,05004,381838.4949,267.7069333
3694578,05004,381838.4949,1037.340105
3694579,05004,381838.4949,1062.816948
3694580,05004,381838.4949,646.6842563
3694585,19049,208043.8668,537.3332033
3694586,19049,208043.8668,144.8896873
3694598,19049,208043.8668,2120.913253
3694606,19049,208043.8668,657.2651202
3694607,19049,208043.8668,2072.80712
3694608,19049,208043.8668,2231.599125
3694609,19049,208043.8668,1668.823494
3694613,19049,208043.8668,1975.371123
3694614,19049,208043.8668,796.0673838
3694618,19049,208043.8668,3190.610713
3694619,19049,208043.8668,1467.105086
3694630,19009,368849.6112,2004.635683
3697742,05004,381838.4949,2446.981818
3697743,05004,381838.4949,3773.588371
3697744,05004,381838.4949,167.1170449
3697752,05004,381838.4949,465.2042689
3697753,05004,381838.4949,1009.931682
3697754,05004,381838.4949,1100.794939
3697755,05004,381838.4949,817.3162317
3697776,19049,208043.8668,2669.885096
3697783,19049,208043.8668,2306.960067
3697784,19049,208043.8668,1541.06418
3697792,19049,208043.8668,2180.562446
3697796,19049,208043.8668,4627.136618
3697808,19009,368849.6112,2003.299439
3700922,05004,381838.4949,1884.979445
3700923,05004,381838.4949,2035.578497
3700924,05004,381838.4949,2017.933277
3700925,05004,381838.4949,2112.213254
3700926,05004,381838.4949,1605.365756
3700927,05004,381838.4949,717.7898541
3700928,05004,381838.4949,634.2466836
3700929,05004,381838.4949,1193.919139
3700930,05004,381838.4949,586.3567411
3700954,19049,208043.8668,456.1318789
3700955,19049,208043.8668,2121.354609
3700956,19049,208043.8668,28.50881745
3700957,19049,208043.8668,2056.183944
3700958,19049,208043.8668,2011.796392
3700959,19049,208043.8668,2079.435176
3700960,19049,208043.8668,2176.841621
3700961,19049,208043.8668,654.5868459
3700970,19049,208043.8668,1540.024605
3700971,19049,208043.8668,1080.714719
3700973,19049,208043.8668,4780.519121
3700974,19049,208043.8668,94.30237707
3700986,19009,368849.6112,2001.644915
3704105,05004,381838.4949,409.8993866
3704106,05004,381838.4949,521.5527786
3704133,19049,208043.8668,886.358571
3704134,19049,208043.8668,1998.259921
3704149,19049,208043.8668,1401.743376
3704150,19049,208043.8668,5430.897139
3704151,19049,208043.8668,2008.774914
3704164,19009,368849.6112,2005.968356
3704172,19038,268632.0068,197.719051
3704173,19038,268632.0068,2628.883098
3707327,19049,208043.8668,3763.715846
3707328,19049,208043.8668,885.0548227
3707342,19009,368849.6112,2016.334421
3707349,19038,268632.0068,746.8030123
3707350,19038,268632.0068,2400.897157
3710504,19049,208043.8668,302.5628477
3710505,19049,208043.8668,4336.567121
3710520,19009,368849.6112,2025.643352
3710526,19009,368849.6112,549.5039959
3710526,19038,268632.0068,578.3239726
3710527,19038,268632.0068,1879.320935
3713682,19049,208043.8668,5486.663655
3713683,19049,208043.8668,780.0714746
3713684,19049,208043.8668,1470.473643
3713698,19009,368849.6112,2030.37826
3713704,19009,368849.6112,2056.589008
3716859,19049,208043.8668,166.6423334
3716860,19049,208043.8668,3956.815659
3716861,19049,208043.8668,2330.300573
3716862,19049,208043.8668,916.1535943
3716863,19049,208043.8668,2530.693609
3716864,19049,208043.8668,1203.011495
3716876,19009,368849.6112,2035.029827
3716882,19009,368849.6112,2006.522308
3720037,19049,208043.8668,4838.17975
3720038,19049,208043.8668,1764.308418
3720039,19049,208043.8668,898.8792532
3720042,19049,208043.8668,2315.715074
3720043,19049,208043.8668,1590.592765
3720053,19009,368849.6112,1430.851168
3720054,19009,368849.6112,621.3222888
3720060,19009,368849.6112,2062.892101
3723214,19049,208043.8668,3024.777804
3723215,19049,208043.8668,4230.03086
3723216,19049,208043.8668,2064.850636
3723221,19049,208043.8668,2290.592939
3723231,19009,368849.6112,2031.001289
3723238,19009,368849.6112,2007.189464
3726391,19049,208043.8668,303.8541451
3726392,19049,208043.8668,4355.425916
3726393,19049,208043.8668,656.8684004
3726399,19049,208043.8668,1211.413982
3726400,19049,208043.8668,1104.159644
3726409,19009,368849.6112,2023.703177
3726416,19009,368849.6112,2065.176381
3729569,19049,208043.8668,4397.456609
3729577,19049,208043.8668,3180.48054
3729578,19049,208043.8668,2173.270861
3729579,19049,208043.8668,1355.839386
3729587,19009,368849.6112,2270.614173
3729594,19009,368849.6112,2169.382694
3732747,19049,208043.8668,4335.478418
3732754,19049,208043.8668,2079.396246
3732755,19049,208043.8668,336.9756482
3732757,19009,368849.6112,541.2550868
3732757,19049,208043.8668,290.0119419
3732758,19009,368849.6112,2482.140353
3732765,19009,368849.6112,2027.2358
3732772,19009,368849.6112,2046.538503
3735924,19049,208043.8668,3674.711685
3735925,19049,208043.8668,925.365228
3735931,19009,368849.6112,1189.214557
3735932,19009,368849.6112,210.2340231
3735932,19049,208043.8668,1153.694658
3735936,19009,368849.6112,1406.507566
3735937,19009,368849.6112,1062.998843
3735943,19009,368849.6112,2029.782177
3735950,19009,368849.6112,3096.110405
3739102,19049,208043.8668,4420.212567
3739108,19009,368849.6112,806.3607415
3739109,19009,368849.6112,1871.561489
3739115,19009,368849.6112,1985.940428
3739116,19009,368849.6112,1246.875332
3739120,19009,368849.6112,1676.319579
3739121,19009,368849.6112,353.4332919
3739128,19009,368849.6112,2597.085398
3742279,19049,208043.8668,3576.399395
3742280,19049,208043.8668,792.0565658
3742285,19009,368849.6112,186.794646
3742286,19009,368849.6112,2766.511143
3742294,19009,368849.6112,958.9986497
3742295,19009,368849.6112,2257.621608
3742296,19009,368849.6112,1609.354209
3742298,19009,368849.6112,2029.57567
3742305,19009,368849.6112,1497.133699
3742306,19009,368849.6112,1913.645912
3745456,19039,212564.5489,525.9473162
3745457,19039,212564.5489,2511.902034
3745457,19049,208043.8668,1984.366374
3745464,19009,368849.6112,2304.645177
3745465,19009,368849.6112,326.3387914
3745474,19009,368849.6112,1302.14359
3745475,19009,368849.6112,1336.85165
3745476,19009,368849.6112,2029.575704
3745483,19009,368849.6112,2148.747421
3748633,19039,212564.5489,180.4134523
3748634,19039,212564.5489,5291.987407
3748643,19009,368849.6112,1159.955678
3748643,19031,121112.1144,1119.140339
3748653,19009,368849.6112,1392.078586
3748654,19009,368849.6112,2670.183214
3748660,19009,368849.6112,333.0596636
3748661,19009,368849.6112,2201.410646
3751811,19039,212564.5489,5131.063578
3751821,19031,121112.1144,2262.453392
3751832,19009,368849.6112,2011.952781
3751838,19009,368849.6112,2425.374564
3754988,19039,212564.5489,3175.145201
3754989,19039,212564.5489,1519.959892
3754999,19031,121112.1144,2128.323955
3755010,19009,368849.6112,2011.87138
3755014,19009,368849.6112,1263.319648
3755015,19009,368849.6112,1721.139225
3755016,19009,368849.6112,1574.536051
3758162,19039,212564.5489,1997.828066
3758165,19039,212564.5489,1154.69829
3758166,19039,212564.5489,3783.68632
3758176,19031,121112.1144,1171.885809
3758177,19031,121112.1144,915.0700499
3758188,19009,368849.6112,2010.942398
3758192,19009,368849.6112,2194.705266
3758193,19009,368849.6112,726.4692038
3761340,19039,212564.5489,628.7673323
3761341,19039,212564.5489,1687.810523
3761343,19039,212564.5489,4673.289074
3761354,19031,121112.1144,2122.980475
3761366,19009,368849.6112,2007.644164
3761369,19009,368849.6112,1691.084924
3761370,19009,368849.6112,1722.053033
3764519,19039,212564.5489,2040.23058
3764520,19039,212564.5489,2826.737959
3764521,19039,212564.5489,1907.540274
3764532,19031,121112.1144,2130.771763
3764544,19009,368849.6112,2003.99356
3764546,19009,368849.6112,1788.662673
3764547,19009,368849.6112,884.1548929
3767697,19039,212564.5489,4993.578138
3767698,19039,212564.5489,3198.291526
3767710,19031,121112.1144,2122.073114
3767722,19009,368849.6112,2007.794346
3767723,19009,368849.6112,1410.397314
3767724,19009,368849.6112,1112.644186
3770875,19039,212564.5489,4493.619178
3770888,19031,121112.1144,2170.403461
3770900,19009,368849.6112,2365.372043
3770901,19009,368849.6112,3600.995302
3770910,19009,368849.6112,992.5028175
3770911,19009,368849.6112,2339.973486
3774052,19039,212564.5489,3693.41427
3774053,19039,212564.5489,1363.804411
3774066,19031,121112.1144,444.1596374
3774067,19031,121112.1144,1786.854562
3774075,19009,368849.6112,245.7353319
3774076,19009,368849.6112,2424.702311
3774077,19009,368849.6112,2013.305052
3774078,19009,368849.6112,1871.020308
3774079,19009,368849.6112,403.2180136
3774080,19009,368849.6112,3342.399997
3774082,19009,368849.6112,1333.469535
3774083,19009,368849.6112,5704.253904
3774084,19009,368849.6112,4000.31755
3774085,19009,368849.6112,2850.12731
3774086,19009,368849.6112,2072.316834
3774087,19009,368849.6112,2065.447884
3774088,19009,368849.6112,1130.348739
3777229,19039,212564.5489,405.3383572
3777230,19039,212564.5489,4005.705113
3777245,19031,121112.1144,2247.613842
3777252,19009,368849.6112,1192.447731
3777253,19009,368849.6112,2221.15007
3777256,19009,368849.6112,3216.059692
3777257,19009,368849.6112,4037.513899
3777258,19009,368849.6112,6406.792543
3777259,19009,368849.6112,4150.595651
3777260,19009,368849.6112,2796.077651
3777262,19009,368849.6112,5173.173219
3777263,19009,368849.6112,4015.854556
3777264,19009,368849.6112,4015.088045
3777265,19009,368849.6112,4032.838936
3777266,19009,368849.6112,4148.896486
3777267,19009,368849.6112,4139.453678
3780407,19039,212564.5489,1844.533596
3780408,19039,212564.5489,2467.929202
3780423,19031,121112.1144,351.6517729
3780424,19031,121112.1144,1893.243215
3780429,19009,368849.6112,2042.213286
3780429,19031,121112.1144,71.94264732
3780430,19009,368849.6112,1280.263773
3780432,19009,368849.6112,402.8329136
3780433,19009,368849.6112,5025.901504
3780434,19009,368849.6112,1237.137974
3780440,19009,368849.6112,2050.424743
3783585,19039,212564.5489,4959.358229
3783602,19031,121112.1144,2234.438657
3783605,19031,121112.1144,301.5825075
3783606,19031,121112.1144,2556.825238
3783607,19031,121112.1144,364.9909196
3783610,19009,368849.6112,5356.69919
3783618,19009,368849.6112,2050.424699
3786762,19039,212564.5489,3449.0348
3786763,19039,212564.5489,1192.307089
3786772,19026,122705.2125,763.5228554
3786772,19031,121112.1144,691.7904451
3786780,19031,121112.1144,324.2210794
3786781,19031,121112.1144,1910.217578
3786782,19031,121112.1144,988.6695768
3786783,19031,121112.1144,2249.596865
3786787,19009,368849.6112,5469.517254
3786788,19009,368849.6112,216.9859284
3786796,19009,368849.6112,2050.424699
3789939,19039,212564.5489,304.948178
3789940,19039,212564.5489,4355.938462
3789949,19026,122705.2125,305.8894237
3789950,19026,122705.2125,1855.499257
3789959,19031,121112.1144,3133.819844
3789960,19031,121112.1144,1759.026471
3789963,19031,121112.1144,2585.591085
3789964,19031,121112.1144,4754.566374
3789965,19009,368849.6112,32.18583385
3789965,19031,121112.1144,137.8455697
3789974,19009,368849.6112,1004.341707
3789975,19009,368849.6112,1046.083037
3793106,19019,14846.898,559.2979004
3793116,19039,212564.5489,447.6288832
3793117,19039,212564.5489,4824.352111
3793128,19026,122705.2125,2428.76352
3793134,19031,121112.1144,1729.625022
3793135,19031,121112.1144,2037.770058
3793136,19031,121112.1144,2082.450255
3793137,19031,121112.1144,5431.804641
3793139,19031,121112.1144,929.451151
3793140,19031,121112.1144,4832.903695
3793141,19031,121112.1144,2090.343328
3793153,19009,368849.6112,2052.663416
3796282,19019,14846.898,82.58344097
3796282,19048,140507.5733,1124.563452
3796283,19019,14846.898,4105.08294
3796284,19019,14846.898,2601.34834
3796286,19019,14846.898,35.61337274
3796286,19039,212564.5489,175.2155921
3796287,19019,14846.898,1900.593824
3796287,19039,212564.5489,102.7237064
3796288,19019,14846.898,528.9625706
3796290,19039,212564.5489,499.1099647
3796291,19039,212564.5489,2049.75322
3796292,19039,212564.5489,2031.475596
3796293,19039,212564.5489,2090.026682
3796294,19039,212564.5489,1644.551103
3796295,19039,212564.5489,7564.571807
3796296,19039,212564.5489,4586.845365
3796306,19026,122705.2125,585.1058393
3796307,19026,122705.2125,1894.91232
3796308,19026,122705.2125,1821.382433
3796309,19026,122705.2125,2077.978245
3796310,19026,122705.2125,716.1744034
3796310,19031,121112.1144,1342.793804
3796311,19031,121112.1144,2039.528797
3796312,19031,121112.1144,308.1450737
3796315,19031,121112.1144,2572.730435
3796316,19031,121112.1144,5656.031245
3796317,19031,121112.1144,6527.467697
3796318,19031,121112.1144,1797.627811
3796331,19009,368849.6112,2053.9749
3799436,19018,421468.398,972.2334499
3799455,19048,140507.5733,4166.272272
3799456,19048,140507.5733,4140.964353
3799457,19048,140507.5733,4007.415142
3799458,19048,140507.5733,4000.330494
3799459,19048,140507.5733,4318.531798
3799460,19048,140507.5733,1248.740871
3799462,19019,14846.898,1152.254076
3799463,19019,14846.898,2014.291895
3799464,19019,14846.898,1796.489233
3799464,19039,212564.5489,152.0492043
3799466,19019,14846.898,70.38230943
3799466,19039,212564.5489,1884.794639
3799467,19039,212564.5489,2107.931439
3799468,19039,212564.5489,1575.24034
3799473,19039,212564.5489,4100.246898
3799474,19039,212564.5489,8.452605185
3799475,19026,122705.2125,525.7352552
3799475,19039,212564.5489,3895.648617
3799476,19026,122705.2125,4789.667816
3799481,19026,122705.2125,1979.913381
3799482,19026,122705.2125,2005.36234
3799483,19026,122705.2125,1275.279859
3799484,19026,122705.2125,2224.584255
3799485,19026,122705.2125,2445.296517
3799486,19026,122705.2125,256.5958119
3799492,19031,121112.1144,2198.17327
3799493,19031,121112.1144,4750.820521
3799494,19031,121112.1144,2021.746797
3799495,19031,121112.1144,3688.869924
3799509,19009,368849.6112,2053.974854
3802614,19018,421468.398,2372.1041
3802615,19018,421468.398,4158.869331
3802631,19048,140507.5733,1980.230609
3802632,19048,140507.5733,5181.628186
3802633,19048,140507.5733,77.87197275
3802636,19048,140507.5733,1945.766839
3802637,19048,140507.5733,794.6455506
3802651,19039,212564.5489,4030.66204
3802654,19026,122705.2125,3772.098515
3802654,19039,212564.5489,330.6680584
3802655,19026,122705.2125,2790.224686
3802656,19026,122705.2125,2004.766364
3802657,19026,122705.2125,2022.038819
3802658,19026,122705.2125,2044.457295
3802659,19026,122705.2125,30.6420586
3802661,19026,122705.2125,824.277025
3802668,19026,122705.2125,1592.226291
3802668,19031,121112.1144,921.1155407
3802669,19031,121112.1144,4492.01085
3802670,19031,121112.1144,2433.464814
3802672,19031,121112.1144,4955.436996
3802687,19009,368849.6112,1627.42351
3802688,19009,368849.6112,426.9024903
3805793,19018,421468.398,1606.949467
3805794,19018,421468.398,1568.365623
3805794,19048,140507.5733,2805.6808
3805795,19048,140507.5733,4103.745283
3805796,19048,140507.5733,2490.05777
3805805,19048,140507.5733,1292.690134
3805806,19048,140507.5733,4033.14429
3805807,19048,140507.5733,4810.766535
3805808,19048,140507.5733,4250.416018
3805809,19048,140507.5733,2310.61418
3805812,19048,140507.5733,1314.16067
3805813,19048,140507.5733,2312.432671
3805814,19048,140507.5733,745.6210759
3805829,19039,212564.5489,4408.162862
3805833,19026,122705.2125,3889.222843
3805834,19026,122705.2125,5950.08334
3805835,19026,122705.2125,4824.328587
3805836,19026,122705.2125,3023.800887
3805837,19026,122705.2125,3103.523685
3805838,19026,122705.2125,4711.90828
3805839,19026,122705.2125,4008.84162
3805840,19026,122705.2125,2592.814842
3805842,19026,122705.2125,2678.21541
3805843,19026,122705.2125,4048.757417
3805844,19026,122705.2125,4120.200494
3805845,19026,122705.2125,4204.407029
3805846,19026,122705.2125,1700.167553
3805849,19031,121112.1144,4488.135129
3805850,19031,121112.1144,362.6767068
3805866,19009,368849.6112,2054.113452
3808974,19048,140507.5733,2083.751317
3808975,19018,421468.398,872.9620564
3808975,19048,140507.5733,3296.907849
3808976,19048,140507.5733,4079.807806
3808977,19048,140507.5733,4052.589312
3808978,19048,140507.5733,4068.137242
3808979,19048,140507.5733,4062.852172
3808980,19018,421468.398,1272.49662
3808980,19048,140507.5733,6670.261767
3808981,19048,140507.5733,6063.384631
3808982,19048,140507.5733,4031.024936
3808983,19048,140507.5733,2721.076408
3808985,19048,140507.5733,2046.592092
3808989,19048,140507.5733,1592.608848
3808990,19048,140507.5733,1357.65787
3809005,19039,212564.5489,1102.649873
3809006,19039,212564.5489,2247.593218
3809007,19039,212564.5489,3162.891446
3809008,19039,212564.5489,536.9129882
3809013,19026,122705.2125,1635.083566
3809014,19026,122705.2125,3529.392447
3809015,19026,122705.2125,1473.803777
3809016,19026,122705.2125,610.4225587
3809018,19026,122705.2125,1969.845968
3809019,19026,122705.2125,4052.917487
3809020,19026,122705.2125,1451.647552
3809023,19006,251903.3758,1263.323432
3809023,19026,122705.2125,420.498234
3809026,19031,121112.1144,1905.749616
3809026,19041,141304.0095,330.8045033
3809027,19031,121112.1144,2583.491004
3809044,19009,368849.6112,768.9102976
3809044,19041,141304.0095,1282.762777
3812158,19018,421468.398,807.155883
3812158,19048,140507.5733,668.9055648
3812159,19018,421468.398,3967.194671
3812159,19048,140507.5733,884.4857107
3812160,19048,140507.5733,1595.341088
3812163,19048,140507.5733,2046.592135
3812166,19048,140507.5733,2304.08758
3812167,19048,140507.5733,943.5174217
3812181,19039,212564.5489,456.7594901
3812182,19039,212564.5489,2321.770157
3812183,19039,212564.5489,5158.002913
3812186,19039,212564.5489,1640.32523
3812186,19046,53512.71424,444.4471219
3812187,19046,53512.71424,1068.279283
3812192,19026,122705.2125,5282.898478
3812193,19026,122705.2125,2051.541024
3812194,19026,122705.2125,2186.214809
3812195,19026,122705.2125,2026.108167
3812196,19006,251903.3758,510.5922824
3812196,19026,122705.2125,1509.794171
3812197,19006,251903.3758,2728.816687
3812197,19026,122705.2125,1150.252747
3812198,19006,251903.3758,1132.273807
3812198,19026,122705.2125,868.0503709
3812199,19006,251903.3758,2065.936887
3812200,19006,251903.3758,1647.066255
3812200,19026,122705.2125,382.4815895
3812201,19006,251903.3758,372.9916983
3812202,19006,251903.3758,2271.063706
3812204,19041,141304.0095,4761.568532
3812222,19041,141304.0095,2050.698539
3815337,19018,421468.398,1600.490117
3815338,19018,421468.398,4745.466165
3815338,19048,140507.5733,569.793213
3815339,19048,140507.5733,798.600724
3815340,19048,140507.5733,1216.723055
3815341,19048,140507.5733,824.204667
3815343,19048,140507.5733,2687.626709
3815344,19048,140507.5733,236.7869515
3815356,19039,212564.5489,1070.61975
3815357,19039,212564.5489,4847.121812
3815358,19039,212564.5489,4809.720297
3815359,19039,212564.5489,1863.078947
3815361,19039,212564.5489,3541.478494
3815362,19039,212564.5489,152.810791
3815362,19046,53512.71424,562.1696144
3815365,19046,53512.71424,1457.369082
3815366,19046,53512.71424,1816.589323
3815370,19026,122705.2125,215.5946171
3815370,19046,53512.71424,373.6134514
3815371,19046,53512.71424,3784.949136
3815375,19006,251903.3758,2049.275431
3815376,19006,251903.3758,95.87613488
3815380,19006,251903.3758,1844.356834
3815380,19041,141304.0095,26.44446465
3815381,19041,141304.0095,5729.760957
3815382,19041,141304.0095,457.2954598
3815400,19041,141304.0095,2050.886172
3818516,19018,421468.398,4549.980412
3818517,19048,140507.5733,2168.229892
3818518,19048,140507.5733,2756.604016
3818520,19048,140507.5733,2195.156676
3818521,19048,140507.5733,134.8494895
3818533,19039,212564.5489,1106.549688
3818534,19039,212564.5489,4479.841257
3818536,19039,212564.5489,2187.34418
3818540,19046,53512.71424,4240.51063
3818544,19046,53512.71424,983.5809902
3818545,19046,53512.71424,1925.405022
3818549,19046,53512.71424,4431.45164
3818554,19006,251903.3758,2303.042478
3818558,19041,141304.0095,3203.62516
3818559,19041,141304.0095,3365.489131
3818560,19041,141304.0095,2217.555598
3818561,19041,141304.0095,733.1015145
3818578,19041,141304.0095,314.8934233
3818579,19041,141304.0095,1735.792035
3821694,19018,421468.398,295.7873686
3821695,19018,421468.398,4319.750967
3821696,19018,421468.398,5575.431343
3821696,19048,140507.5733,2521.400873
3821697,19048,140507.5733,2507.321494
3821698,19048,140507.5733,1700.043521
3821711,19039,212564.5489,5136.950766
3821713,19039,212564.5489,1234.783831
3821714,19039,212564.5489,1207.388894
3821718,19046,53512.71424,4162.945492
3821723,19046,53512.71424,648.1488089
3821724,19046,53512.71424,2542.354368
3821725,19046,53512.71424,79.9356874
3821727,19046,53512.71424,1413.267972
3821728,19006,251903.3758,2678.270448
3821728,19046,53512.71424,324.5361449
3821732,19006,251903.3758,2075.924904
3821735,19041,141304.0095,1522.798556
3821736,19006,251903.3758,2658.330387
