GRIDCODE,CVENTMUN,Fa
3681850,05004,0.013363001
3681851,05004,0.001050413
3681855,05004,0.000217754
3681856,05004,0.001419271
3681861,05004,0.000110765
3681862,05004,0.007018968
3681863,05004,0.007223135
3681864,05004,0.0051393
3681889,19049,0.001358102
3681890,19049,0.017005698
3681891,19049,0.019812612
3681892,19049,0.003074847
3681913,19004,0.009281525
3681914,19004,0.032963876
3681915,19004,0.026342877
3681916,19004,0.028527259
3681917,19004,0.033241186
3681918,19004,0.033241186
3681919,19004,0.033241186
3681920,19004,0.033241186
3681921,19004,0.033241186
3681922,19004,0.03277858
3681923,19004,0.005681325
3681923,19038,0.025337499
3681924,19038,0.0266719
3681925,19038,0.022243714
3681926,19038,0.030560695
3681927,19038,0.030560695
3685028,05004,0.009774778
3685029,05004,0.00022207
3685032,05004,0.003278054
3685033,05004,0.005716179
3685034,05004,0.002140518
3685040,05004,0.000383727
3685048,05004,1.10548E-05
3685048,19049,7.63119E-05
3685049,19049,0.001353277
3685050,19049,0.000523132
3685053,19049,0.001745361
3685054,19049,0.02050281
3685055,19049,0.014419723
3685056,19049,0.005026978
3685065,19049,0.001229948
3685066,19049,0.009507012
3685067,19049,0.00786217
3685068,19049,0.008154806
3685069,19049,1.96002E-05
3685091,19004,0.003205904
3685092,19004,0.008087129
3685093,19004,0.015720031
3685093,19009,8.66421E-06
3685094,19004,0.03279598
3685094,19009,3.33714E-05
3685095,19004,0.033241186
3685096,19004,0.033241186
3685097,19004,0.033241186
3685098,19004,0.033241186
3685099,19004,0.033241186
3685100,19004,0.033241186
3685101,19004,0.015338972
3685101,19038,0.016458622
3685102,19004,3.29882E-05
3685102,19038,0.020599186
3685103,19038,0.027509155
3685104,19038,0.030560695
3685105,19038,0.030560695
3688206,05004,0.010848384
3688207,05004,0.012669856
3688208,05004,0.009889558
3688209,05004,0.001139402
3688212,05004,0.003757217
3688213,05004,0.003394191
3688225,05004,0.003638435
3688226,05004,0.005315021
3688226,19049,0.003039551
3688227,19049,0.021085001
3688228,19049,0.017627499
3688229,19049,0.009153055
3688230,19049,0.014047671
3688231,19049,0.019111474
3688232,19049,0.025026571
3688233,19049,0.020882148
3688234,19049,0.012404796
3688235,19049,0.000322281
3688242,19049,0.006018219
3688243,19049,0.013565779
3688244,19049,0.001243168
3688264,19049,0.007257852
3688265,19049,0.010538556
3688270,19004,0.012290819
3688270,19009,0.000737211
3688271,19004,0.008491389
3688271,19009,0.001855177
3688272,19004,0.008936079
3688272,19009,0.001821844
3688273,19004,0.030635263
3688273,19009,0.000195333
3688274,19004,0.032945282
3688274,19009,2.21802E-05
3688275,19004,0.033241186
3688276,19004,0.033241186
3688277,19004,0.033241186
3688278,19004,0.033241186
3688279,19004,0.033227654
3688280,19004,0.004511598
3688280,19038,0.022028991
3688281,19038,0.030560695
3688282,19038,0.030560695
3688283,19038,0.030560695
3691384,05004,0.00058867
3691385,05004,0.00189839
3691386,05004,0.008496277
3691387,05004,0.012232412
3691388,05004,0.011218649
3691389,05004,0.011510332
3691390,05004,0.013448159
3691391,05004,0.002685306
3691403,05004,0.002657392
3691404,05004,0.000915559
3691404,19049,4.97649E-06
3691405,19049,0.00077489
3691406,19049,0.008416944
3691407,19049,0.011254912
3691408,19049,0.006096304
3691409,19049,0.006530805
3691410,19049,0.017321454
3691411,19049,0.012840348
3691412,19049,0.004659217
3691420,19049,0.000310995
3691442,19049,0.01154377
3691443,19049,0.000238012
3691448,19009,0.000281485
3691449,19009,0.002327844
3691450,19009,0.002491669
3691451,19004,0.002087758
3691451,19009,0.002335176
3691452,19004,0.003240409
3691452,19009,0.001477429
3691453,19004,0.011015471
3691453,19009,0.001482994
3691454,19004,0.028307041
3691454,19009,0.00036985
3691455,19004,0.032067085
3691455,19009,8.80074E-05
3691456,19004,0.032747558
3691456,19009,3.7001E-05
3691457,19004,0.017987218
3691457,19038,0.002400781
3691458,19038,0.015298202
3691459,19038,0.029083285
3691460,19038,0.030560695
3691461,19038,0.030560695
3694564,05004,0.001839826
3694565,05004,0.006098991
3694566,05004,0.007206428
3694567,05004,0.006485994
3694568,05004,0.005470916
3694569,05004,0.000295664
3694576,05004,2.62191E-05
3694584,19049,0.000505565
3694585,19049,0.007313413
3694586,19049,0.011490119
3694587,19049,0.007671001
3694588,19049,0.002439978
3694605,19049,2.97178E-05
3694606,19049,0.003571006
3694607,19049,0.00374502
3694613,19049,0.002266977
3694614,19049,0.009947005
3694615,19049,8.03735E-05
3694616,19049,0.002964763
3694620,19049,0.005820711
3694626,19009,0.000375546
3694627,19009,0.002488188
3694628,19009,0.002491669
3694629,19009,0.002491669
3694630,19009,0.002473375
3694631,19009,0.002491669
3694632,19004,0.0001238
3694632,19009,0.002482389
3694633,19004,0.00395635
3694633,19009,0.002195111
3694634,19004,0.017954605
3694634,19009,0.00114584
3694635,19004,0.009920448
3694635,19009,7.12479E-07
3694635,19038,0.020882196
3694636,19038,0.02366356
3694637,19038,0.023344272
3694638,19038,0.030560695
3694639,19038,0.030560695
3697740,05004,0.001761769
3697741,05004,0.000159844
3697742,05004,0.001792347
3697743,05004,0.009443992
3697744,05004,0.00788226
3697745,05004,0.007392407
3697746,05004,0.00869381
3697747,05004,0.007169552
3697748,05004,0.00257513
3697750,05004,6.44035E-05
3697751,05004,0.002089835
3697752,05004,0.003529796
3697753,05004,0.004476395
3697754,05004,0.008696955
3697761,05004,7.2306E-05
3697761,19049,0.000975329
3697762,19049,0.008513502
3697763,19049,0.002260537
3697764,19049,0.001196068
3697782,19049,0.000203438
3697783,19049,0.013317672
3697784,19049,0.006955858
3697785,19049,0.000257514
3697792,19049,0.015247781
3697793,19049,0.002920903
3697794,19049,0.010224556
3697795,19049,0.001256578
3697804,19009,0.000744536
3697805,19009,0.002491669
3697806,19009,0.002491669
3697807,19009,0.002491669
3697808,19009,0.002491669
3697809,19009,0.002491669
3697810,19009,0.002491669
3697811,19009,0.002491669
3697812,19004,3.0704E-05
3697812,19009,0.002489367
3697813,19004,0.000149234
3697813,19009,0.001627947
3697813,19038,0.01041788
3697814,19009,0.00068368
3697814,19038,0.004209689
3697815,19038,0.018310699
3697816,19038,0.030560695
3697817,19038,0.030560695
3700918,05004,0.003739679
3700919,05004,0.010680526
3700920,05004,0.013525775
3700921,05004,0.013531357
3700922,05004,0.013531357
3700923,05004,0.013531357
3700924,05004,0.013531357
3700925,05004,0.013531357
3700926,05004,0.012004101
3700927,05004,0.003576669
3700928,05004,0.006583077
3700929,05004,0.012415052
3700930,05004,0.003656213
3700931,05004,0.003275056
3700932,05004,0.00082108
3700938,05004,0.004541042
3700939,05004,0.003208198
3700939,19049,0.000510211
3700940,19049,2.72298E-05
3700970,19049,0.001338723
3700971,19049,0.015035168
3700972,19049,0.003803317
3700973,19049,3.24123E-07
3700982,19009,0.001168252
3700983,19009,0.002491669
3700984,19009,0.002491669
3700985,19009,0.002491669
3700986,19009,0.002491669
3700987,19009,0.002491669
3700988,19009,0.002491669
3700989,19009,0.002491669
3700990,19009,0.002491669
3700991,19009,0.002491669
3700992,19009,0.00162521
3700992,19038,0.00697916
3700993,19038,0.016475396
3700994,19038,0.030560695
3700995,19038,0.030560695
3704097,05004,0.00263604
3704098,05004,0.008195726
3704099,05004,0.010729712
3704100,05004,0.011199605
3704101,05004,0.007997885
3704102,05004,0.012636694
3704103,05004,0.013531357
3704104,05004,0.006845442
3704105,05004,0.001827778
3704106,05004,0.001392079
3704107,05004,0.001699499
3704108,05004,1.25751E-05
3704114,05004,0.001584745
3704115,05004,0.006421391
3704116,05004,0.007287103
3704117,05004,0.000865473
3704159,19009,0.000287289
3704160,19009,0.002085846
3704161,19009,0.001044353
3704162,19009,0.002472038
3704163,19009,0.002491669
3704164,19009,0.002491669
3704165,19009,0.002491669
3704166,19009,0.002491669
3704167,19009,0.002491669
3704168,19009,0.002491669
3704169,19009,0.002311294
3704169,19038,0.002212325
3704170,19009,0.000331155
3704170,19038,0.026499025
3704171,19038,0.025732471
3704172,19009,7.29755E-07
3704172,19038,0.030551744
3704173,19009,0.001087203
3704173,19038,0.017225989
3707276,05004,0.002604194
3707277,05004,0.010965764
3707278,05004,0.011486872
3707279,05004,0.003092399
3707280,05004,0.004414333
3707281,05004,0.009481112
3707282,05004,6.58661E-08
3707289,05004,2.4915E-06
3707290,05004,0.001967957
3707291,05004,0.00435237
3707292,05004,0.002733168
3707293,05004,0.000400694
3707294,05004,0.000281337
3707337,19009,4.98419E-06
3707338,19009,0.002341452
3707339,19009,0.000900583
3707340,19009,0.001164042
3707341,19009,0.002139102
3707342,19009,0.002491669
3707343,19009,0.002491669
3707344,19009,0.002491669
3707345,19009,0.002491669
3707346,19009,0.002491669
3707347,19009,0.001250659
3707347,19038,0.015221171
3707348,19038,0.021154775
3707349,19009,5.80612E-05
3707349,19038,0.028749436
3707350,19009,0.001513958
3707350,19038,0.011991768
3707351,19009,0.002491669
3710452,05004,0.001326166
3710453,05004,0.003761677
3710454,05004,0.011541881
3710455,05004,0.013531357
3710456,05004,0.013531357
3710457,05004,0.012714972
3710458,05004,0.009696935
3710459,05004,0.006903831
3710460,05004,0.00149581
3710461,05004,6.53598E-05
3710464,05004,0.001162163
3710465,05004,0.002565391
3710466,05004,0.003227192
3710467,05004,0.0035344
3710468,05004,0.000669046
3710513,19009,0.000519232
3710513,19049,0.001944533
3710514,19009,0.000975558
3710515,19009,0.001024472
3710516,19009,0.001046865
3710517,19009,0.000927685
3710518,19009,0.001754917
3710519,19009,0.002424448
3710520,19009,0.002491669
3710521,19009,0.002491669
3710522,19009,0.002491669
3710523,19009,0.002491669
3710524,19009,0.002491669
3710525,19009,0.002134341
3710525,19038,0.004382671
3710526,19009,0.000179391
3710526,19038,0.017480191
3710527,19009,0.001602604
3710527,19038,0.006634271
3710528,19009,0.002491669
3710529,19009,0.002491669
3713630,05004,0.007473748
3713631,05004,0.010892385
3713632,05004,0.011718011
3713633,05004,0.013531357
3713634,05004,0.013531357
3713635,05004,0.013531357
3713636,05004,0.013531357
3713637,05004,0.013353856
3713638,05004,0.011309188
3713639,05004,0.008995959
3713640,05004,0.008070227
3713641,05004,0.005555411
3713642,05004,0.004403525
3713643,05004,0.000124163
3713690,19049,0.001382552
3713691,19009,0.000356849
3713691,19049,0.019634709
3713692,19009,0.002348459
3713692,19049,0.000838579
3713693,19009,0.002491669
3713694,19009,0.001418284
3713695,19009,0.001475395
3713696,19009,0.002491669
3713697,19009,0.002491669
3713698,19009,0.002491669
3713699,19009,0.002491669
3713700,19009,0.002491669
3713701,19009,0.002491669
3713702,19009,0.002491669
3713703,19009,0.002491669
3713704,19009,0.001630202
3713704,19038,0.001839555
3713705,19009,0.002239923
3713706,19009,0.002491669
3713707,19009,0.002491669
3716810,05004,0.000120939
3716811,05004,0.003013422
3716812,05004,0.004424326
3716813,05004,0.003984087
3716814,05004,0.004458874
3716815,05004,0.000629062
3716816,05004,3.52184E-05
3716864,19049,0.00223951
3716865,19049,0.003764287
3716866,19049,0.001577399
3716868,19049,0.011497912
3716869,19049,0.008465973
3716870,19009,0.001146975
3716870,19049,0.013506237
3716871,19009,0.002491669
3716872,19009,0.002491669
3716873,19009,0.002442254
3716874,19009,0.002491669
3716875,19009,0.002491669
3716876,19009,0.002491669
3716877,19009,0.002491669
3716878,19009,0.002372017
3716879,19009,0.002491669
3716880,19009,0.002491669
3716881,19009,0.002491669
3716882,19009,0.002427901
3716883,19009,0.002491669
3716884,19009,0.002491669
3716885,19009,0.002491669
3719990,05004,0.000271599
3720042,19049,0.004075998
3720043,19049,0.019233324
3720044,19049,0.018285009
3720045,19049,0.004901809
3720046,19049,0.01200514
3720047,19049,0.025026571
3720048,19009,2.3892E-05
3720048,19049,0.024786597
3720049,19009,0.001699123
3720049,19049,0.007960409
3720050,19009,0.002491669
3720051,19009,0.002491669
3720052,19009,0.002491669
3720053,19009,0.002491669
3720054,19009,0.002491669
3720055,19009,0.002491669
3720056,19009,0.001593864
3720057,19009,0.001647664
3720058,19009,0.002483451
3720059,19009,0.002491669
3720060,19009,0.002491669
3720061,19009,0.002491669
3720062,19009,0.002491669
3720063,19009,0.002491669
3723164,05004,0.00468393
3723165,05004,0.006938576
3723166,05004,0.0078619
3723167,05004,0.007216098
3723168,05004,0.011568707
3723169,05004,0.007257629
3723170,05004,0.004896574
3723171,05004,0.007226258
3723172,05004,0.007649133
3723221,19049,0.002726268
3723222,19049,0.011257074
3723223,19049,0.024986048
3723224,19049,0.025026571
3723225,19049,0.025026571
3723226,19009,0.000232456
3723226,19049,0.022691761
3723227,19009,0.001684528
3723227,19049,0.008107003
3723228,19009,0.002438052
3723228,19049,0.000538532
3723229,19009,0.002491669
3723230,19009,0.002491669
3723231,19009,0.002491669
3723232,19009,0.002491669
3723233,19009,0.002491669
3723234,19009,0.002491669
3723235,19009,0.002491669
3723236,19009,0.002483292
3723237,19009,0.001976909
3723238,19009,0.002491669
3723239,19009,0.002491669
3723240,19009,0.002491669
3723241,19009,0.002388045
3726342,05004,0.011895865
3726343,05004,0.013282255
3726344,05004,0.011694103
3726345,05004,0.011123213
3726346,05004,0.012903073
3726347,05004,0.009585778
3726348,05004,0.004279227
3726349,05004,0.001369687
3726350,05004,4.90986E-05
3726386,19049,4.23099E-06
3726387,19049,0.004310632
3726388,19049,0.000557843
3726401,19049,0.005132247
3726402,19049,0.022991818
3726403,19009,0.000629451
3726403,19049,0.018704297
3726404,19009,0.002253342
3726404,19049,0.002393773
3726405,19009,0.002491669
3726406,19009,0.00233688
3726407,19009,0.002322262
3726408,19009,0.002491669
3726409,19009,0.002491669
3726410,19009,0.002491669
3726411,19009,0.002213985
3726412,19009,0.00148553
3726413,19009,0.002451725
3726414,19009,0.002491669
3726415,19009,0.002491669
3726416,19009,0.002491669
3726417,19009,0.002491669
3726418,19009,0.002020941
3726419,19009,0.001900098
3729520,05004,0.00029044
3729521,05004,0.001681744
3729522,05004,2.22798E-05
3729524,05004,0.002575399
3729525,05004,0.000466102
3729564,19049,0.00134421
3729565,19049,0.015845072
3729566,19049,0.019556425
3729567,19049,0.003865012
3729578,19049,0.008215263
3729579,19009,7.64464E-05
3729579,19049,0.01627361
3729580,19009,0.000563799
3729580,19049,0.005383704
3729581,19009,0.001262285
3729581,19049,0.000437442
3729582,19009,0.002240218
3729583,19009,0.002491669
3729584,19009,0.002057152
3729585,19009,0.001938486
3729586,19009,0.001725673
3729587,19009,0.00213884
3729588,19009,0.002491669
3729589,19009,0.002466238
3729590,19009,0.00234994
3729591,19009,0.002491653
3729592,19009,0.002491669
3729593,19009,0.002491669
3729594,19009,0.002491669
3729595,19009,0.002310336
3729596,19009,0.001174569
3729597,19009,0.002491669
3732702,05004,0.003746065
3732703,05004,0.003035336
3732712,19048,0.006332237
3732743,19049,0.005214359
3732744,19049,0.020596657
3732745,19049,0.005907157
3732756,19049,0.015753459
3732757,19009,0.001383551
3732757,19049,0.011105343
3732758,19009,0.000287418
3732759,19009,0.000127469
3732760,19009,0.002000307
3732761,19009,0.002079745
3732762,19009,0.000554191
3732763,19009,0.000941497
3732764,19009,0.002334385
3732765,19009,0.002491669
3732766,19009,0.002491669
3732767,19009,0.002491669
3732768,19009,0.002491669
3732769,19009,0.002283783
3732770,19009,0.002406921
3732771,19009,0.002491669
3732772,19009,0.002491669
3732773,19009,0.002488951
3732774,19009,0.001405331
3732775,19009,0.002001058
3735877,05004,0.003378828
3735878,05004,0.002484419
3735879,05004,0.004607416
3735880,05004,0.012748486
3735881,05004,0.01294512
3735882,05004,0.007433436
3735883,05004,0.002249139
3735890,19048,0.23671528
3735891,19048,0.10740967
3735903,19048,0.056640855
3735904,19048,0.006643065
3735934,19049,2.36934E-09
3735935,19009,0.000336824
3735935,19049,4.20739E-05
3735936,19009,0.000127893
3735937,19009,0.000215517
3735938,19009,7.56807E-06
3735939,19009,0.000339358
3735940,19009,0.000671624
3735941,19009,0.002280097
3735942,19009,0.002491669
3735943,19009,0.002491669
3735944,19009,0.002491669
3735945,19009,0.002491669
3735946,19009,0.002491669
3735947,19009,0.002272875
3735948,19009,0.001298158
3735949,19009,0.001504415
3735950,19009,0.002491669
3735951,19009,0.002491669
3735952,19009,0.001356286
3735953,19009,1.37088E-05
3739054,05004,0.001462067
3739058,05004,0.000774693
3739059,05004,0.001004813
3739068,19048,0.045768093
3739069,19048,0.035685836
3739079,19048,0.040192078
3739080,19048,0.197950084
3739081,19048,0.175879521
3739082,19048,0.004135272
3739111,19009,6.5419E-05
3739112,19009,0.001301871
3739113,19009,0.001787978
3739114,19009,0.002218849
3739115,19009,0.002278023
3739116,19009,0.001074385
3739117,19009,0.001411544
3739118,19009,0.001668371
3739119,19009,0.002358871
3739120,19009,0.002491669
3739121,19009,0.002491669
3739122,19009,0.002491669
3739123,19009,0.002491669
3739124,19009,0.002491669
3739125,19009,0.002491669
3739126,19009,0.002491669
3739127,19009,0.001740645
3739128,19009,0.002491669
3739129,19009,0.002491669
3739130,19009,0.000585558
3739131,19009,0.000229741
3742257,19048,0.050630415
3742258,19048,0.036017595
3742289,19009,0.001425849
3742290,19009,0.002491669
3742291,19009,0.002491669
3742292,19009,0.002491669
3742293,19009,0.002399628
3742294,19009,0.002031908
3742295,19009,0.001204443
3742296,19009,0.001638604
3742297,19009,0.001736489
3742298,19009,0.002491669
3742299,19009,0.002491669
3742300,19009,0.002491669
3742301,19009,0.002491669
3742302,19009,0.002491669
3742303,19009,0.002491669
3742304,19009,0.002491669
3742305,19009,0.002491669
3742306,19009,0.002491669
3742307,19009,0.002491669
3742308,19009,0.002198529
3742309,19009,0.002074669
3745466,19009,0.000303633
3745466,19031,0.000208893
3745467,19009,0.001071708
3745467,19031,0.009202335
3745468,19009,0.00088593
3745468,19031,0.010899268
3745469,19009,0.00214488
3745469,19031,0.002353899
3745470,19009,0.002174795
3745471,19009,0.000536891
3745471,19031,0.000120648
3745472,19009,0.00162698
3745472,19031,0.000905352
3745473,19009,0.002491669
3745474,19009,0.002491669
3745475,19009,0.002491669
3745476,19009,0.002491669
3745477,19009,0.002491669
3745478,19009,0.002491669
3745479,19009,0.002491669
3745480,19009,0.002491669
3745481,19009,0.002491669
3745482,19009,0.002491669
3745483,19009,0.002491669
3745484,19009,0.002491669
3745485,19009,0.002491669
3745486,19009,0.002491669
3745487,19009,0.002491669
3748643,19009,0.000320868
3748643,19031,0.006487088
3748644,19009,2.45902E-05
3748644,19031,0.008202815
3748645,19031,0.016414537
3748646,19031,0.016912696
3748647,19009,0.000325071
3748647,19031,0.014706212
3748648,19009,0.00059157
3748648,19031,0.00912594
3748649,19009,0.001059014
3748649,19031,0.008309798
3748650,19009,0.002471442
3748650,19031,0.000137293
3748651,19009,0.002491669
3748652,19009,0.002491669
3748653,19009,0.002491669
3748654,19009,0.002491669
3748655,19009,0.002491669
3748656,19009,0.002491669
3748657,19009,0.002491669
3748658,19009,0.002491669
3748659,19009,0.002491669
3748660,19009,0.002487839
3748661,19009,0.000909223
3748662,19009,0.000835944
3748663,19009,0.002491669
3748664,19009,0.002491669
3748665,19009,0.002491669
3751820,19031,0.004045819
3751821,19031,0.015594266
3751822,19031,0.016912696
3751823,19031,0.016912696
3751824,19031,0.016912696
3751825,19009,0.000427308
3751825,19031,0.014012256
3751826,19009,0.000978921
3751826,19031,0.010268076
3751827,19009,0.002474627
3751827,19031,0.000115674
3751828,19009,0.002491669
3751829,19009,0.002491669
3751830,19009,0.002491669
3751831,19009,0.002491669
3751832,19009,0.002491669
3751833,19009,0.002491669
3751834,19009,0.002491669
3751835,19009,0.002491669
3751836,19009,0.002491669
3751837,19009,0.002491669
3751838,19009,0.002403994
3751839,19009,0.001546444
3751840,19009,0.001914753
3751841,19009,0.002491669
3751842,19009,0.002491669
3751843,19009,0.002491669
3754996,19031,2.81794E-07
