month,iday,Day_type,cday
1,1,6,sab
1,2,7,dom
1,3,1,lun
1,4,2,mar
1,5,3,mie
1,6,4,jue
1,7,5,vie
1,8,6,sab
1,9,7,dom
1,10,1,lun
1,11,2,mar
1,12,3,mie
1,13,4,jue
1,14,5,vie
1,15,6,sab
1,16,7,dom
1,17,1,lun
1,18,2,mar
1,19,3,mie
1,20,4,jue
1,21,5,vie
1,22,6,sab
1,23,7,dom
1,24,1,lun
1,25,2,mar
1,26,3,mie
1,27,4,jue
1,28,5,vie
1,29,6,sab
1,30,7,dom
1,31,1,lun
2,1,2,mar
2,2,3,mie
2,3,4,jue
2,4,5,vie
2,5,6,sab
2,6,7,dom
2,7,1,lun
2,8,2,mar
2,9,3,mie
2,10,4,jue
2,11,5,vie
2,12,6,sab
2,13,7,dom
2,14,1,lun
2,15,2,mar
2,16,3,mie
2,17,4,jue
2,18,5,vie
2,19,6,sab
2,20,7,dom
2,21,1,lun
2,22,2,mar
2,23,3,mie
2,24,4,jue
2,25,5,vie
2,26,6,sab
2,27,7,dom
2,28,1,lun
3,1,2,mar
3,2,3,mie
3,3,4,jue
3,4,5,vie
3,5,6,sab
3,6,7,dom
3,7,1,lun
3,8,2,mar
3,9,3,mie
3,10,4,jue
3,11,5,vie
3,12,6,sab
3,13,7,dom
3,14,1,lun
3,15,2,mar
3,16,3,mie
3,17,4,jue
3,18,5,vie
3,19,6,sab
3,20,7,dom
3,21,1,lun
3,22,2,mar
3,23,3,mie
3,24,4,jue
3,25,5,vie
3,26,6,sab
3,27,7,dom
3,28,1,lun
3,29,2,mar
3,30,3,mie
3,31,4,jue
4,1,5,vie
4,2,6,sab
4,3,7,dom
4,4,1,lun
4,5,2,mar
4,6,3,mie
4,7,4,jue
4,8,5,vie
4,9,6,sab
4,10,7,dom
4,11,1,lun
4,12,2,mar
4,13,3,mie
4,14,4,jue
4,15,5,vie
4,16,6,sab
4,17,7,dom
4,18,1,lun
4,19,2,mar
4,20,3,mie
4,21,4,jue
4,22,5,vie
4,23,6,sab
4,24,7,dom
4,25,1,lun
4,26,2,mar
4,27,3,mie
4,28,4,jue
4,29,5,vie
4,30,6,sab
5,1,7,dom
5,2,1,lun
5,3,2,mar
5,4,3,mie
5,5,4,jue
5,6,5,vie
5,7,6,sab
5,8,7,dom
5,9,1,lun
5,10,2,mar
5,11,3,mie
5,12,4,jue
5,13,5,vie
5,14,6,sab
5,15,7,dom
5,16,1,lun
5,17,2,mar
5,18,3,mie
5,19,4,jue
5,20,5,vie
5,21,6,sab
5,22,7,dom
5,23,1,lun
5,24,2,mar
5,25,3,mie
5,26,4,jue
5,27,5,vie
5,28,6,sab
5,29,7,dom
5,30,1,lun
5,31,2,mar
6,1,3,mie
6,2,4,jue
6,3,5,vie
6,4,6,sab
6,5,7,dom
6,6,1,lun
6,7,2,mar
6,8,3,mie
6,9,4,jue
6,10,5,vie
6,11,6,sab
6,12,7,dom
6,13,1,lun
6,14,2,mar
6,15,3,mie
6,16,4,jue
6,17,5,vie
6,18,6,sab
6,19,7,dom
6,20,1,lun
6,21,2,mar
6,22,3,mie
6,23,4,jue
6,24,5,vie
6,25,6,sab
6,26,7,dom
6,27,1,lun
6,28,2,mar
6,29,3,mie
6,30,4,jue
7,1,5,vie
7,2,6,sab
7,3,7,dom
7,4,1,lun
7,5,2,mar
7,6,3,mie
7,7,4,jue
7,8,5,vie
7,9,6,sab
7,10,7,dom
7,11,1,lun
7,12,2,mar
7,13,3,mie
7,14,4,jue
7,15,5,vie
7,16,6,sab
7,17,7,dom
7,18,1,lun
7,19,2,mar
7,20,3,mie
7,21,4,jue
7,22,5,vie
7,23,6,sab
7,24,7,dom
7,25,1,lun
7,26,2,mar
7,27,3,mie
7,28,4,jue
7,29,5,vie
7,30,6,sab
7,31,7,dom
8,1,1,lun
8,2,2,mar
8,3,3,mie
8,4,4,jue
8,5,5,vie
8,6,6,sab
8,7,7,dom
8,8,1,lun
8,9,2,mar
8,10,3,mie
8,11,4,jue
8,12,5,vie
8,13,6,sab
8,14,7,dom
8,15,1,lun
8,16,2,mar
8,17,3,mie
8,18,4,jue
8,19,5,vie
8,20,6,sab
8,21,7,dom
8,22,1,lun
8,23,2,mar
8,24,3,mie
8,25,4,jue
8,26,5,vie
8,27,6,sab
8,28,7,dom
8,29,1,lun
8,30,2,mar
8,31,3,mie
9,1,4,jue
9,2,5,vie
9,3,6,sab
9,4,7,dom
9,5,1,lun
9,6,2,mar
9,7,3,mie
9,8,4,jue
9,9,5,vie
9,10,6,sab
9,11,7,dom
9,12,1,lun
9,13,2,mar
9,14,3,mie
9,15,4,jue
9,16,5,vie
9,17,6,sab
9,18,7,dom
9,19,1,lun
9,20,2,mar
9,21,3,mie
9,22,4,jue
9,23,5,vie
9,24,6,sab
9,25,7,dom
9,26,1,lun
9,27,2,mar
9,28,3,mie
9,29,4,jue
9,30,5,vie
10,1,6,sab
10,2,7,dom
10,3,1,lun
10,4,2,mar
10,5,3,mie
10,6,4,jue
10,7,5,vie
10,8,6,sab
10,9,7,dom
10,10,1,lun
10,11,2,mar
10,12,3,mie
10,13,4,jue
10,14,5,vie
10,15,6,sab
10,16,7,dom
10,17,1,lun
10,18,2,mar
10,19,3,mie
10,20,4,jue
10,21,5,vie
10,22,6,sab
10,23,7,dom
10,24,1,lun
10,25,2,mar
10,26,3,mie
10,27,4,jue
10,28,5,vie
10,29,6,sab
10,30,7,dom
10,31,1,lun
11,1,2,mar
11,2,3,mie
11,3,4,jue
11,4,5,vie
11,5,6,sab
11,6,7,dom
11,7,1,lun
11,8,2,mar
11,9,3,mie
11,10,4,jue
11,11,5,vie
11,12,6,sab
11,13,7,dom
11,14,1,lun
11,15,2,mar
11,16,3,mie
11,17,4,jue
11,18,5,vie
11,19,6,sab
11,20,7,dom
11,21,1,lun
11,22,2,mar
11,23,3,mie
11,24,4,jue
11,25,5,vie
11,26,6,sab
11,27,7,dom
11,28,1,lun
11,29,2,mar
11,30,3,mie
12,1,4,jue
12,2,5,vie
12,3,6,sab
12,4,7,dom
12,5,1,lun
12,6,2,mar
12,7,3,mie
12,8,4,jue
12,9,5,vie
12,10,6,sab
12,11,7,dom
12,12,1,lun
12,13,2,mar
12,14,3,mie
12,15,4,jue
12,16,5,vie
12,17,6,sab
12,18,7,dom
12,19,1,lun
12,20,2,mar
12,21,3,mie
12,22,4,jue
12,23,5,vie
12,24,6,sab
12,25,7,dom
12,26,1,lun
12,27,2,mar
12,28,3,mie
12,29,4,jue
12,30,5,vie
12,31,6,sab